ID,Latitude,Longitude
4106141,10.79166667,-1.625
4106142,10.79166667,-1.541666667
4106143,10.79166667,-1.458333333
4106144,10.79166667,-1.375
4106145,10.79166667,-1.291666667
4106146,10.79166667,-1.208333333
4106147,10.79166667,-1.125
4106148,10.79166667,-1.041666667
4106149,10.79166667,-0.958333333
4106150,10.79166667,-0.875
4106151,10.79166667,-0.791666667
4106152,10.79166667,-0.708333333
4106153,10.79166667,-0.625
4106154,10.79166667,-0.541666667
4106155,10.79166667,-0.458333333
4106156,10.79166667,-0.375
4106157,10.79166667,-0.291666667
4106158,10.79166667,-0.208333333
4106159,10.79166667,-0.125
4106160,10.79166667,-0.041666667
4110445,10.70833333,-2.958333333
4110446,10.70833333,-2.875
4110447,10.70833333,-2.791666667
4110448,10.70833333,-2.708333333
4110449,10.70833333,-2.625
4110450,10.70833333,-2.541666667
4110451,10.70833333,-2.458333333
4110452,10.70833333,-2.375
4110453,10.70833333,-2.291666667
4110454,10.70833333,-2.208333333
4110455,10.70833333,-2.125
4110456,10.70833333,-2.041666667
4110457,10.70833333,-1.958333333
4110458,10.70833333,-1.875
4110459,10.70833333,-1.791666667
4110460,10.70833333,-1.708333333
4110461,10.70833333,-1.625
4110462,10.70833333,-1.541666667
4110463,10.70833333,-1.458333333
4110464,10.70833333,-1.375
4110465,10.70833333,-1.291666667
4110466,10.70833333,-1.208333333
4110467,10.70833333,-1.125
4110468,10.70833333,-1.041666667
4110469,10.70833333,-0.958333333
4110470,10.70833333,-0.875
4110471,10.70833333,-0.791666667
4110472,10.70833333,-0.708333333
4110473,10.70833333,-0.625
4110474,10.70833333,-0.541666667
4110475,10.70833333,-0.458333333
4110476,10.70833333,-0.375
4110477,10.70833333,-0.291666667
4110478,10.70833333,-0.208333333
4110479,10.70833333,-0.125
4110480,10.70833333,-0.041666667
4114765,10.625,-2.958333333
4114766,10.625,-2.875
4114767,10.625,-2.791666667
4114768,10.625,-2.708333333
4114769,10.625,-2.625
4114770,10.625,-2.541666667
4114771,10.625,-2.458333333
4114772,10.625,-2.375
4114773,10.625,-2.291666667
4114774,10.625,-2.208333333
4114775,10.625,-2.125
4114776,10.625,-2.041666667
4114777,10.625,-1.958333333
4114778,10.625,-1.875
4114779,10.625,-1.791666667
4114780,10.625,-1.708333333
4114781,10.625,-1.625
4114782,10.625,-1.541666667
4114783,10.625,-1.458333333
4114784,10.625,-1.375
4114785,10.625,-1.291666667
4114786,10.625,-1.208333333
4114787,10.625,-1.125
4114788,10.625,-1.041666667
4114789,10.625,-0.958333333
4114790,10.625,-0.875
4114791,10.625,-0.791666667
4114792,10.625,-0.708333333
4114793,10.625,-0.625
4114794,10.625,-0.541666667
4114795,10.625,-0.458333333
4114796,10.625,-0.375
4114797,10.625,-0.291666667
4114798,10.625,-0.208333333
4114799,10.625,-0.125
4114800,10.625,-0.041666667
4114801,10.625,0.041666667
4119085,10.54166667,-2.958333333
4119086,10.54166667,-2.875
4119087,10.54166667,-2.791666667
4119088,10.54166667,-2.708333333
4119089,10.54166667,-2.625
4119090,10.54166667,-2.541666667
4119091,10.54166667,-2.458333333
4119092,10.54166667,-2.375
4119093,10.54166667,-2.291666667
4119094,10.54166667,-2.208333333
4119095,10.54166667,-2.125
4119096,10.54166667,-2.041666667
4119097,10.54166667,-1.958333333
4119098,10.54166667,-1.875
4119099,10.54166667,-1.791666667
4119100,10.54166667,-1.708333333
4119101,10.54166667,-1.625
4119102,10.54166667,-1.541666667
4119103,10.54166667,-1.458333333
4119104,10.54166667,-1.375
4119105,10.54166667,-1.291666667
4119106,10.54166667,-1.208333333
4119107,10.54166667,-1.125
4119108,10.54166667,-1.041666667
4119109,10.54166667,-0.958333333
4119110,10.54166667,-0.875
4119111,10.54166667,-0.791666667
4119112,10.54166667,-0.708333333
4119113,10.54166667,-0.625
4119114,10.54166667,-0.541666667
4119115,10.54166667,-0.458333333
4119116,10.54166667,-0.375
